"location","date","transport_type","ridership","Latitude","Longitude"
"Johor Bahru","2021-03-23","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-24","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-25","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-26","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-27","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-28","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-29","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-30","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-31","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-04-01","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-04-02","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-04-03","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-04-04","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-09","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-10","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-11","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-12","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-13","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-14","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-15","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-16","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-17","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-18","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-19","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-20","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-21","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-03-22","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-02","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-03","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-04","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-05","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-06","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-07","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-08","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-09","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-10","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-11","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-12","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-13","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-14","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-15","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-16","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-17","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-18","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-19","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-20","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-21","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-22","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-23","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-24","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-25","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-26","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-27","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-28","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-29","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-30","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-05-31","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-01","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-02","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-03","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-04","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-05","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-06","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-07","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-08","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-09","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-10","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-11","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-12","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-13","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-14","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-15","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-16","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-17","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-18","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-19","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-20","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-21","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-22","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-23","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-24","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-25","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-26","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-27","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-28","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-29","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-06-30","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-01","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-02","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-03","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-04","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-05","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-06","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-07","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-08","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-09","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-10","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-11","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-12","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-13","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-14","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-15","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-16","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-17","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-18","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-19","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-20","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-21","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-22","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-23","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-24","rail_tebrau",NA,1.4927,103.7414
"Johor Bahru","2021-07-25","rail_tebrau",NA,1.4927,103.7414
